pk,user_id,product_id,rating,content,content,,pk,content
742,6,93,5,I just don't like sweet vine but this wine is good with desserts,26,,,
743,7,93,5,sparkling!,30,,,
744,8,93,6,A liittle too sweet,29,,,
745,1,94,3,A liittle too sweet,29,,,
746,2,94,8,sparkling!,30,,,
747,3,94,9,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
748,4,94,9,"Pear!!! Fig, Floral, refreshing",2,,,
749,5,94,8,honey peach tropical bread yeast Too sweet for me,31,,,
750,6,94,6,Sweet taste with a great finish,20,,,
751,7,94,1,unexpectedly sweet and soft,11,,,
752,8,94,10,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
753,1,95,5,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
754,2,95,7,"very sweet, so only good at the first drink",23,,,
755,3,95,6,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
756,4,95,2,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
757,5,95,3,Sweet taste with a great finish,20,,,
758,6,95,3,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
759,7,95,10,Trash,28,,,
760,8,95,6,A little too sweet but very pleasant and light,12,,,
761,1,96,10,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
762,2,96,4,unexpectedly sweet and soft,11,,,
763,3,96,10,unexpectedly sweet and soft,11,,,
764,4,96,6,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
765,5,96,1,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
766,6,96,2,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
767,7,96,1,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
768,8,96,8,A liittle too sweet,29,,,
769,1,97,3,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
770,2,97,1,"Pear!!! Fig, Floral, refreshing",2,,,
771,3,97,10,honey peach tropical bread yeast Too sweet for me,31,,,
772,4,97,2,Sweet taste with a great finish,20,,,
773,5,97,9,"Pear!!! Fig, Floral, refreshing",2,,,
774,6,97,6,"Very sweet, bordering dessert wine",24,,,
775,7,97,2,too sweet for me but decent one:),9,,,
776,8,97,7,Fruity and not too sweet,19,,,
777,1,98,7,Little bit sweet:(,17,,,
778,2,98,5,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
779,3,98,10,light body/ fruity,22,,,
780,4,98,2,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
781,5,98,7,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
782,6,98,2,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
783,7,98,5,I just don't like sweet vine but this wine is good with desserts,26,,,
784,8,98,6,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
785,1,99,1,sparkling!,30,,,
786,2,99,3,"Pear!!! Fig, Floral, refreshing",2,,,
787,3,99,8,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
788,4,99,3,A little too sweet but very pleasant and light,12,,,
789,5,99,10,Trash,28,,,
790,6,99,7,Fruity & good vakue,10,,,
791,7,99,4,Fruity & good vakue,10,,,
792,8,99,3,"Good for me, Not for my wife",27,,,
793,1,100,5,too sweet for me but decent one:),9,,,
794,2,100,4,light body/ fruity,22,,,
795,3,100,9,A liittle too sweet,29,,,
796,4,100,5,honey peach tropical bread yeast Too sweet for me,31,,,
797,5,100,1,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
798,6,100,2,I just don't like sweet vine but this wine is good with desserts,26,,,
799,7,100,1,"very sweet, so only good at the first drink",23,,,
800,8,100,1,Trash,28,,,
